"ano_pesquisa","cargo_atual","senioridade","quantidade","percentual","base_respostas_validas","total_respondentes_ano","cobertura_percentual"
"2023","Analista de BI/BI Analyst","Júnior","176","4.56","3857","5293","72.87"
"2023","Analista de BI/BI Analyst","Pleno","200","5.19","3857","5293","72.87"
"2023","Analista de BI/BI Analyst","Sênior","130","3.37","3857","5293","72.87"
"2023","Analista de Dados/Data Analyst","Júnior","277","7.18","3857","5293","72.87"
"2023","Analista de Dados/Data Analyst","Pleno","360","9.33","3857","5293","72.87"
"2023","Analista de Dados/Data Analyst","Sênior","270","7.0","3857","5293","72.87"
"2023","Analista de Inteligência de Mercado/Market Intelligence","Júnior","16","0.41","3857","5293","72.87"
"2023","Analista de Inteligência de Mercado/Market Intelligence","Pleno","15","0.39","3857","5293","72.87"
"2023","Analista de Inteligência de Mercado/Market Intelligence","Sênior","8","0.21","3857","5293","72.87"
"2023","Analista de Negócios/Business Analyst","Júnior","43","1.11","3857","5293","72.87"
"2023","Analista de Negócios/Business Analyst","Pleno","69","1.79","3857","5293","72.87"
"2023","Analista de Negócios/Business Analyst","Sênior","83","2.15","3857","5293","72.87"
"2023","Analista de Suporte/Analista Técnico","Júnior","26","0.67","3857","5293","72.87"
"2023","Analista de Suporte/Analista Técnico","Pleno","31","0.8","3857","5293","72.87"
"2023","Analista de Suporte/Analista Técnico","Sênior","15","0.39","3857","5293","72.87"
"2023","Analytics Engineer","Júnior","18","0.47","3857","5293","72.87"
"2023","Analytics Engineer","Pleno","52","1.35","3857","5293","72.87"
"2023","Analytics Engineer","Sênior","69","1.79","3857","5293","72.87"
"2023","Cientista de Dados/Data Scientist","Júnior","165","4.28","3857","5293","72.87"
"2023","Cientista de Dados/Data Scientist","Pleno","250","6.48","3857","5293","72.87"
"2023","Cientista de Dados/Data Scientist","Sênior","272","7.05","3857","5293","72.87"
"2023","DBA/Administrador de Banco de Dados","Júnior","2","0.05","3857","5293","72.87"
"2023","DBA/Administrador de Banco de Dados","Pleno","5","0.13","3857","5293","72.87"
"2023","DBA/Administrador de Banco de Dados","Sênior","13","0.34","3857","5293","72.87"
"2023","Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO)","Júnior","8","0.21","3857","5293","72.87"
"2023","Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO)","Pleno","18","0.47","3857","5293","72.87"
"2023","Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO)","Sênior","55","1.43","3857","5293","72.87"
"2023","Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas","Júnior","28","0.73","3857","5293","72.87"
"2023","Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas","Pleno","26","0.67","3857","5293","72.87"
"2023","Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas","Sênior","51","1.32","3857","5293","72.87"
"2023","Economista","Júnior","1","0.03","3857","5293","72.87"
"2023","Economista","Pleno","2","0.05","3857","5293","72.87"
"2023","Economista","Sênior","2","0.05","3857","5293","72.87"
"2023","Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect","Júnior","125","3.24","3857","5293","72.87"
"2023","Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect","Pleno","234","6.07","3857","5293","72.87"
"2023","Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect","Sênior","325","8.43","3857","5293","72.87"
"2023","Engenheiro de Machine Learning/ML Engineer/AI Engineer","Júnior","16","0.41","3857","5293","72.87"
"2023","Engenheiro de Machine Learning/ML Engineer/AI Engineer","Pleno","30","0.78","3857","5293","72.87"
"2023","Engenheiro de Machine Learning/ML Engineer/AI Engineer","Sênior","29","0.75","3857","5293","72.87"
"2023","Estatístico","Júnior","7","0.18","3857","5293","72.87"
"2023","Estatístico","Pleno","9","0.23","3857","5293","72.87"
"2023","Estatístico","Sênior","5","0.13","3857","5293","72.87"
"2023","Outra Opção","Júnior","122","3.16","3857","5293","72.87"
"2023","Outra Opção","Pleno","73","1.89","3857","5293","72.87"
"2023","Outra Opção","Sênior","67","1.74","3857","5293","72.87"
"2023","Outras Engenharias (não inclui dev)","Júnior","10","0.26","3857","5293","72.87"
"2023","Outras Engenharias (não inclui dev)","Pleno","9","0.23","3857","5293","72.87"
"2023","Outras Engenharias (não inclui dev)","Sênior","12","0.31","3857","5293","72.87"
"2023","Professor/Pesquisador","Júnior","6","0.16","3857","5293","72.87"
"2023","Professor/Pesquisador","Pleno","9","0.23","3857","5293","72.87"
"2023","Professor/Pesquisador","Sênior","13","0.34","3857","5293","72.87"
"2024","Analista de BI/BI Analyst","Júnior","126","3.3","3816","5215","73.17"
"2024","Analista de BI/BI Analyst","Pleno","168","4.4","3816","5215","73.17"
"2024","Analista de BI/BI Analyst","Sênior","102","2.67","3816","5215","73.17"
"2024","Analista de Dados/Data Analyst","Júnior","244","6.39","3816","5215","73.17"
"2024","Analista de Dados/Data Analyst","Pleno","391","10.25","3816","5215","73.17"
"2024","Analista de Dados/Data Analyst","Sênior","322","8.44","3816","5215","73.17"
"2024","Analista de Negócios/Business Analyst","Júnior","35","0.92","3816","5215","73.17"
"2024","Analista de Negócios/Business Analyst","Pleno","66","1.73","3816","5215","73.17"
"2024","Analista de Negócios/Business Analyst","Sênior","83","2.18","3816","5215","73.17"
"2024","Analista de Suporte/Analista Técnico","Júnior","29","0.76","3816","5215","73.17"
"2024","Analista de Suporte/Analista Técnico","Pleno","30","0.79","3816","5215","73.17"
"2024","Analista de Suporte/Analista Técnico","Sênior","19","0.5","3816","5215","73.17"
"2024","Analytics Engineer","Júnior","30","0.79","3816","5215","73.17"
"2024","Analytics Engineer","Pleno","83","2.18","3816","5215","73.17"
"2024","Analytics Engineer","Sênior","115","3.01","3816","5215","73.17"
"2024","Arquiteto de Dados/Data Architect","Júnior","1","0.03","3816","5215","73.17"
"2024","Arquiteto de Dados/Data Architect","Pleno","10","0.26","3816","5215","73.17"
"2024","Arquiteto de Dados/Data Architect","Sênior","37","0.97","3816","5215","73.17"
"2024","Cientista de Dados/Data Scientist","Júnior","118","3.09","3816","5215","73.17"
"2024","Cientista de Dados/Data Scientist","Pleno","230","6.03","3816","5215","73.17"
"2024","Cientista de Dados/Data Scientist","Sênior","339","8.88","3816","5215","73.17"
"2024","Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO)","Júnior","4","0.1","3816","5215","73.17"
"2024","Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO)","Pleno","15","0.39","3816","5215","73.17"
"2024","Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO)","Sênior","61","1.6","3816","5215","73.17"
"2024","Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas","Júnior","29","0.76","3816","5215","73.17"
"2024","Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas","Pleno","49","1.28","3816","5215","73.17"
"2024","Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas","Sênior","44","1.15","3816","5215","73.17"
"2024","Engenheiro de Dados/Data Engineer/Data Architect","Júnior","92","2.41","3816","5215","73.17"
"2024","Engenheiro de Dados/Data Engineer/Data Architect","Pleno","211","5.53","3816","5215","73.17"
"2024","Engenheiro de Dados/Data Engineer/Data Architect","Sênior","309","8.1","3816","5215","73.17"
"2024","Engenheiro de Machine Learning/ML Engineer/AI Engineer","Júnior","9","0.24","3816","5215","73.17"
"2024","Engenheiro de Machine Learning/ML Engineer/AI Engineer","Pleno","36","0.94","3816","5215","73.17"
"2024","Engenheiro de Machine Learning/ML Engineer/AI Engineer","Sênior","58","1.52","3816","5215","73.17"
"2024","Estatístico","Júnior","5","0.13","3816","5215","73.17"
"2024","Estatístico","Pleno","7","0.18","3816","5215","73.17"
"2024","Estatístico","Sênior","5","0.13","3816","5215","73.17"
"2024","Outra Opção","Júnior","135","3.54","3816","5215","73.17"
"2024","Outra Opção","Pleno","59","1.55","3816","5215","73.17"
"2024","Outra Opção","Sênior","60","1.57","3816","5215","73.17"
"2024","Outras Engenharias (não inclui dev)","Júnior","6","0.16","3816","5215","73.17"
"2024","Outras Engenharias (não inclui dev)","Pleno","14","0.37","3816","5215","73.17"
"2024","Outras Engenharias (não inclui dev)","Sênior","9","0.24","3816","5215","73.17"
"2024","Professor/Pesquisador","Júnior","5","0.13","3816","5215","73.17"
"2024","Professor/Pesquisador","Pleno","7","0.18","3816","5215","73.17"
"2024","Professor/Pesquisador","Sênior","9","0.24","3816","5215","73.17"
"2025_2026","Analista de BI/BI Analyst","Especialista/Staff+","17","0.68","2500","3494","71.55"
"2025_2026","Analista de BI/BI Analyst","Júnior","57","2.28","2500","3494","71.55"
"2025_2026","Analista de BI/BI Analyst","Pleno","82","3.28","2500","3494","71.55"
