"ano_pesquisa","senioridade","faixa_salarial","quantidade","ordem_faixa","percentual"
"2023","Júnior","Menos de R$ 1.000/mês","22","1","2.1"
"2023","Júnior","de R$ 1.001/mês a R$ 2.000/mês","194","2","18.55"
"2023","Júnior","de R$ 2.001/mês a R$ 3.000/mês","211","3","20.17"
"2023","Júnior","de R$ 3.001/mês a R$ 4.000/mês","195","4","18.64"
"2023","Júnior","de R$ 4.001/mês a R$ 6.000/mês","294","5","28.11"
"2023","Júnior","de R$ 6.001/mês a R$ 8.000/mês","79","6","7.55"
"2023","Júnior","de R$ 8.001/mês a R$ 12.000/mês","43","7","4.11"
"2023","Júnior","de R$ 12.001/mês a R$ 16.000/mês","5","8","0.48"
"2023","Júnior","de R$ 16.001/mês a R$ 20.000/mês","3","9","0.29"
"2023","Pleno","Menos de R$ 1.000/mês","3","1","0.22"
"2023","Pleno","de R$ 1.001/mês a R$ 2.000/mês","16","2","1.15"
"2023","Pleno","de R$ 2.001/mês a R$ 3.000/mês","52","3","3.74"
"2023","Pleno","de R$ 3.001/mês a R$ 4.000/mês","126","4","9.05"
"2023","Pleno","de R$ 4.001/mês a R$ 6.000/mês","356","5","25.57"
"2023","Pleno","de R$ 6.001/mês a R$ 8.000/mês","369","6","26.51"
"2023","Pleno","de R$ 8.001/mês a R$ 12.000/mês","351","7","25.22"
"2023","Pleno","de R$ 12.001/mês a R$ 16.000/mês","80","8","5.75"
"2023","Pleno","de R$ 16.001/mês a R$ 20.000/mês","20","9","1.44"
"2023","Pleno","de R$ 20.001/mês a R$ 25.000/mês","7","10","0.5"
"2023","Pleno","de R$ 25.001/mês a R$ 30.000/mês","7","11","0.5"
"2023","Pleno","de R$ 30.001/mês a R$ 40.000/mês","3","12","0.22"
"2023","Pleno","Acima de R$ 40.001/mês","2","13","0.14"
"2023","Sênior","de R$ 1.001/mês a R$ 2.000/mês","1","2","0.07"
"2023","Sênior","de R$ 2.001/mês a R$ 3.000/mês","10","3","0.7"
"2023","Sênior","de R$ 3.001/mês a R$ 4.000/mês","12","4","0.85"
"2023","Sênior","de R$ 4.001/mês a R$ 6.000/mês","53","5","3.74"
"2023","Sênior","de R$ 6.001/mês a R$ 8.000/mês","133","6","9.37"
"2023","Sênior","de R$ 8.001/mês a R$ 12.000/mês","506","7","35.66"
"2023","Sênior","de R$ 12.001/mês a R$ 16.000/mês","393","8","27.7"
"2023","Sênior","de R$ 16.001/mês a R$ 20.000/mês","139","9","9.8"
"2023","Sênior","de R$ 20.001/mês a R$ 25.000/mês","73","10","5.14"
"2023","Sênior","de R$ 25.001/mês a R$ 30.000/mês","40","11","2.82"
"2023","Sênior","de R$ 30.001/mês a R$ 40.000/mês","33","12","2.33"
"2023","Sênior","Acima de R$ 40.001/mês","26","13","1.83"
"2024","Júnior","Menos de R$ 1.000/mês","26","1","3.0"
"2024","Júnior","de R$ 1.001/mês a R$ 2.000/mês","140","2","16.13"
"2024","Júnior","de R$ 2.001/mês a R$ 3.000/mês","188","3","21.66"
"2024","Júnior","de R$ 3.001/mês a R$ 4.000/mês","156","4","17.97"
"2024","Júnior","de R$ 4.001/mês a R$ 6.000/mês","218","5","25.12"
"2024","Júnior","de R$ 6.001/mês a R$ 8.000/mês","88","6","10.14"
"2024","Júnior","de R$ 8.001/mês a R$ 12.000/mês","40","7","4.61"
"2024","Júnior","de R$ 12.001/mês a R$ 16.000/mês","5","8","0.58"
"2024","Júnior","de R$ 16.001/mês a R$ 20.000/mês","2","9","0.23"
"2024","Júnior","de R$ 20.001/mês a R$ 25.000/mês","1","10","0.12"
"2024","Júnior","de R$ 25.001/mês a R$ 30.000/mês","2","11","0.23"
