"ano_pesquisa","tipo_modelo","modelo_trabalho","quantidade","percentual","base_respostas_validas","total_respondentes_ano","cobertura_percentual"
"2023","Atual","Modelo 100% remoto","2201","46.31","4753","5293","89.8"
"2023","Atual","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","972","20.45","4753","5293","89.8"
"2023","Atual","Modelo híbrido com dias fixos de trabalho presencial","790","16.62","4753","5293","89.8"
"2023","Atual","Modelo 100% presencial","790","16.62","4753","5293","89.8"
"2023","Ideal","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","2144","45.11","4753","5293","89.8"
"2023","Ideal","Modelo 100% remoto","2124","44.69","4753","5293","89.8"
"2023","Ideal","Modelo híbrido com dias fixos de trabalho presencial","389","8.18","4753","5293","89.8"
"2023","Ideal","Modelo 100% presencial","96","2.02","4753","5293","89.8"
"2024","Atual","Modelo 100% remoto","2221","45.69","4861","5215","93.21"
"2024","Atual","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","998","20.53","4861","5215","93.21"
"2024","Atual","Modelo híbrido com dias fixos de trabalho presencial","850","17.49","4861","5215","93.21"
"2024","Atual","Modelo 100% presencial","792","16.29","4861","5215","93.21"
"2024","Ideal","Modelo 100% remoto","2237","46.02","4861","5215","93.21"
"2024","Ideal","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","2102","43.24","4861","5215","93.21"
"2024","Ideal","Modelo híbrido com dias fixos de trabalho presencial","431","8.87","4861","5215","93.21"
"2024","Ideal","Modelo 100% presencial","91","1.87","4861","5215","93.21"
"2025_2026","Atual","Modelo 100% remoto","1281","39.7","3227","3494","92.36"
"2025_2026","Atual","Modelo 100% presencial","670","20.76","3227","3494","92.36"
"2025_2026","Atual","Modelo híbrido com dias fixos de trabalho presencial","645","19.99","3227","3494","92.36"
"2025_2026","Atual","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","631","19.55","3227","3494","92.36"
"2025_2026","Ideal","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","1387","42.98","3227","3494","92.36"
"2025_2026","Ideal","Modelo 100% remoto","1359","42.11","3227","3494","92.36"
"2025_2026","Ideal","Modelo híbrido com dias fixos de trabalho presencial","421","13.05","3227","3494","92.36"
"2025_2026","Ideal","Modelo 100% presencial","60","1.86","3227","3494","92.36"
