"ano_pesquisa","categoria","tecnologia","quantidade","base_respostas_validas","total_respondentes_ano","percentual_respondentes","cobertura_percentual","tipo_resposta","ranking"
"2023","Banco de dados utilizado","SQL Server","1210","3772","5293","32.08","71.26","Múltipla","1"
"2023","Banco de dados utilizado","PostgreSQL","1068","3772","5293","28.31","71.26","Múltipla","2"
"2023","Banco de dados utilizado","Google BigQuery","983","3772","5293","26.06","71.26","Múltipla","3"
"2023","Banco de dados utilizado","MySQL","927","3772","5293","24.58","71.26","Múltipla","4"
"2023","Banco de dados utilizado","Databricks","806","3772","5293","21.37","71.26","Múltipla","5"
"2023","Banco de dados utilizado","S3","789","3772","5293","20.92","71.26","Múltipla","6"
"2023","Banco de dados utilizado","Oracle","686","3772","5293","18.19","71.26","Múltipla","7"
"2023","Banco de dados utilizado","Amazon Athena","451","3772","5293","11.96","71.26","Múltipla","8"
"2023","Banco de dados utilizado","MongoDB","428","3772","5293","11.35","71.26","Múltipla","9"
"2023","Banco de dados utilizado","Amazon Redshift","414","3772","5293","10.98","71.26","Múltipla","10"
"2023","Banco de dados utilizado","Hive","294","3772","5293","7.79","71.26","Múltipla","11"
"2023","Banco de dados utilizado","Amazon Aurora ou RDS","241","3772","5293","6.39","71.26","Múltipla","12"
"2023","Banco de dados utilizado","Snowflake","220","3772","5293","5.83","71.26","Múltipla","13"
"2023","Banco de dados utilizado","SAP HANA","211","3772","5293","5.59","71.26","Múltipla","14"
"2023","Banco de dados utilizado","DynamoDB","208","3772","5293","5.51","71.26","Múltipla","15"
"2023","Banco de dados utilizado","SQLite","179","3772","5293","4.75","71.26","Múltipla","16"
"2023","Banco de dados utilizado","Elasticsearch","149","3772","5293","3.95","71.26","Múltipla","17"
"2023","Banco de dados utilizado","Presto","139","3772","5293","3.69","71.26","Múltipla","18"
"2023","Banco de dados utilizado","Microsoft Access","129","3772","5293","3.42","71.26","Múltipla","19"
"2023","Banco de dados utilizado","MariaDB","124","3772","5293","3.29","71.26","Múltipla","20"
"2023","Banco de dados utilizado","Firebase","104","3772","5293","2.76","71.26","Múltipla","21"
"2023","Banco de dados utilizado","DB2","100","3772","5293","2.65","71.26","Múltipla","22"
"2023","Banco de dados utilizado","Redis","100","3772","5293","2.65","71.26","Múltipla","23"
"2023","Banco de dados utilizado","Google Firestore","65","3772","5293","1.72","71.26","Múltipla","24"
"2023","Banco de dados utilizado","Splunk","49","3772","5293","1.3","71.26","Múltipla","25"
"2023","Banco de dados utilizado","Firebird","43","3772","5293","1.14","71.26","Múltipla","26"
"2023","Banco de dados utilizado","Cassandra","42","3772","5293","1.11","71.26","Múltipla","27"
"2023","Banco de dados utilizado","Neo4J","34","3772","5293","0.9","71.26","Múltipla","28"
"2023","Banco de dados utilizado","Sybase","29","3772","5293","0.77","71.26","Múltipla","29"
"2023","Banco de dados utilizado","Teradata","28","3772","5293","0.74","71.26","Múltipla","30"
"2023","Banco de dados utilizado","HBase","24","3772","5293","0.64","71.26","Múltipla","31"
"2023","Banco de dados utilizado","Nenhum","21","3772","5293","0.56","71.26","Múltipla","32"
"2023","Banco de dados utilizado","Datomic","20","3772","5293","0.53","71.26","Múltipla","33"
"2023","Banco de dados utilizado","Excel","19","3772","5293","0.5","71.26","Múltipla","34"
"2023","Banco de dados utilizado","Vertica","11","3772","5293","0.29","71.26","Múltipla","35"
"2023","Banco de dados utilizado","Denodo","11","3772","5293","0.29","71.26","Múltipla","36"
"2023","Banco de dados utilizado","Azure","7","3772","5293","0.19","71.26","Múltipla","37"
"2023","Banco de dados utilizado","Não utilizo","6","3772","5293","0.16","71.26","Múltipla","38"
"2023","Banco de dados utilizado","SAS","6","3772","5293","0.16","71.26","Múltipla","39"
"2023","Banco de dados utilizado","Clickhouse","6","3772","5293","0.16","71.26","Múltipla","40"
"2023","Banco de dados utilizado","Sharepoint","5","3772","5293","0.13","71.26","Múltipla","41"
"2023","Banco de dados utilizado","não utilizo","4","3772","5293","0.11","71.26","Múltipla","42"
"2023","Banco de dados utilizado","nenhum","4","3772","5293","0.11","71.26","Múltipla","43"
"2023","Banco de dados utilizado","Azure Blob Storage","4","3772","5293","0.11","71.26","Múltipla","44"
"2023","Banco de dados utilizado","Google Cloud Storage","4","3772","5293","0.11","71.26","Múltipla","45"
"2023","Banco de dados utilizado","Nenhuma","4","3772","5293","0.11","71.26","Múltipla","46"
"2023","Banco de dados utilizado","CoachDB","4","3772","5293","0.11","71.26","Múltipla","47"
"2023","Banco de dados utilizado","Trino","3","3772","5293","0.08","71.26","Múltipla","48"
"2023","Banco de dados utilizado","Salesforce","3","3772","5293","0.08","71.26","Múltipla","49"
"2023","Banco de dados utilizado","Planilhas","3","3772","5293","0.08","71.26","Múltipla","50"
"2023","Banco de dados utilizado","Não uso","3","3772","5293","0.08","71.26","Múltipla","51"
"2023","Banco de dados utilizado","Azure Synapse","3","3772","5293","0.08","71.26","Múltipla","52"
"2023","Banco de dados utilizado","Metabase","3","3772","5293","0.08","71.26","Múltipla","53"
"2023","Banco de dados utilizado","Azure Data Lake Storage","3","3772","5293","0.08","71.26","Múltipla","54"
"2023","Banco de dados utilizado","APIs","2","3772","5293","0.05","71.26","Múltipla","55"
"2023","Banco de dados utilizado","Blob Storage","2","3772","5293","0.05","71.26","Múltipla","56"
"2023","Banco de dados utilizado","CSV","2","3772","5293","0.05","71.26","Múltipla","57"
"2023","Banco de dados utilizado","Nao utilizo","2","3772","5293","0.05","71.26","Múltipla","58"
"2023","Banco de dados utilizado","Impala","2","3772","5293","0.05","71.26","Múltipla","59"
"2023","Banco de dados utilizado","NA","2","3772","5293","0.05","71.26","Múltipla","60"
"2023","Banco de dados utilizado","teradata","2","3772","5293","0.05","71.26","Múltipla","61"
"2023","Banco de dados utilizado","CosmosDB","2","3772","5293","0.05","71.26","Múltipla","62"
"2023","Banco de dados utilizado","Synapse Analytics","2","3772","5293","0.05","71.26","Múltipla","63"
"2023","Banco de dados utilizado","Caché","2","3772","5293","0.05","71.26","Múltipla","64"
"2023","Banco de dados utilizado",".","2","3772","5293","0.05","71.26","Múltipla","65"
"2023","Banco de dados utilizado","Bigquery","2","3772","5293","0.05","71.26","Múltipla","66"
"2023","Banco de dados utilizado","Google BigTable","2","3772","5293","0.05","71.26","Múltipla","67"
"2023","Banco de dados utilizado","Cloud Storage","2","3772","5293","0.05","71.26","Múltipla","68"
"2023","Banco de dados utilizado","Progress","2","3772","5293","0.05","71.26","Múltipla","69"
"2023","Banco de dados utilizado","SAS GUIDE","1","3772","5293","0.03","71.26","Múltipla","70"
"2023","Banco de dados utilizado","Sas","1","3772","5293","0.03","71.26","Múltipla","71"
"2023","Banco de dados utilizado","DremIO","1","3772","5293","0.03","71.26","Múltipla","72"
"2023","Banco de dados utilizado","memgraph","1","3772","5293","0.03","71.26","Múltipla","73"
"2023","Banco de dados utilizado","Interbase","1","3772","5293","0.03","71.26","Múltipla","74"
"2023","Banco de dados utilizado","NÃO SE APLICA","1","3772","5293","0.03","71.26","Múltipla","75"
"2023","Banco de dados utilizado","Azure SQL","1","3772","5293","0.03","71.26","Múltipla","76"
"2023","Banco de dados utilizado","Google cloud storage","1","3772","5293","0.03","71.26","Múltipla","77"
"2023","Banco de dados utilizado","Workflow","1","3772","5293","0.03","71.26","Múltipla","78"
"2023","Banco de dados utilizado","Denodo - Virtualizador","1","3772","5293","0.03","71.26","Múltipla","79"
"2023","Banco de dados utilizado","Storage da Azure","1","3772","5293","0.03","71.26","Múltipla","80"
"2023","Banco de dados utilizado","Azzure","1","3772","5293","0.03","71.26","Múltipla","81"
"2023","Banco de dados utilizado","diretamente das ferramentas","1","3772","5293","0.03","71.26","Múltipla","82"
"2023","Banco de dados utilizado","Microsoft Office","1","3772","5293","0.03","71.26","Múltipla","83"
"2023","Banco de dados utilizado","Nenhuma delas","1","3772","5293","0.03","71.26","Múltipla","84"
"2023","Banco de dados utilizado","Servidor interno","1","3772","5293","0.03","71.26","Múltipla","85"
"2023","Banco de dados utilizado","Cosmos","1","3772","5293","0.03","71.26","Múltipla","86"
"2023","Banco de dados utilizado","Nemhuma","1","3772","5293","0.03","71.26","Múltipla","87"
"2023","Banco de dados utilizado","Jepto","1","3772","5293","0.03","71.26","Múltipla","88"
"2023","Banco de dados utilizado","ADLS","1","3772","5293","0.03","71.26","Múltipla","89"
"2023","Banco de dados utilizado","Salesforce Data Cloud","1","3772","5293","0.03","71.26","Múltipla","90"
"2023","Banco de dados utilizado","MobaXTerm","1","3772","5293","0.03","71.26","Múltipla","91"
"2023","Banco de dados utilizado","Power Query","1","3772","5293","0.03","71.26","Múltipla","92"
"2023","Banco de dados utilizado","Excel usado como database","1","3772","5293","0.03","71.26","Múltipla","93"
"2023","Banco de dados utilizado","Salesforce SOQL","1","3772","5293","0.03","71.26","Múltipla","94"
"2023","Banco de dados utilizado","Depende do projeto","1","3772","5293","0.03","71.26","Múltipla","95"
"2023","Banco de dados utilizado","SingleStore","1","3772","5293","0.03","71.26","Múltipla","96"
"2023","Banco de dados utilizado","RudderStack","1","3772","5293","0.03","71.26","Múltipla","97"
"2023","Banco de dados utilizado","Dados de sequenciamento de nova geração","1","3772","5293","0.03","71.26","Múltipla","98"
"2023","Banco de dados utilizado","Azure Data Lake Storage Gen2","1","3772","5293","0.03","71.26","Múltipla","99"
"2023","Banco de dados utilizado","PLSQL","1","3772","5293","0.03","71.26","Múltipla","100"
"2023","Banco de dados utilizado","azure gen2","1","3772","5293","0.03","71.26","Múltipla","101"
"2023","Banco de dados utilizado","por ser consultoria varia muito","1","3772","5293","0.03","71.26","Múltipla","102"
"2023","Banco de dados utilizado","nenhum. tudo em excel por enquanto. tentando migrar p banco sql","1","3772","5293","0.03","71.26","Múltipla","103"
