"ano_pesquisa","indicador","categoria","quantidade","base_respostas_validas","total_respondentes_ano","percentual","cobertura_percentual"
"2023","Adoção de IA no trabalho","Utiliza IA","3054","3772","5293","80.97","71.26"
"2023","Adoção de IA no trabalho","Não utiliza IA","718","3772","5293","19.03","71.26"
"2023","Prioridade da IA na empresa","Prioridade moderada","275","896","5293","30.69","16.93"
"2023","Prioridade da IA na empresa","Não é prioridade","258","896","5293","28.79","16.93"
"2023","Prioridade da IA na empresa","Alta prioridade","214","896","5293","23.88","16.93"
"2023","Prioridade da IA na empresa","Principal prioridade","110","896","5293","12.28","16.93"
"2023","Prioridade da IA na empresa","Não sabe opinar","39","896","5293","4.35","16.93"
"2024","Adoção de IA no trabalho","Utiliza IA","3394","3617","5215","93.83","69.36"
"2024","Adoção de IA no trabalho","Não utiliza IA","223","3617","5215","6.17","69.36"
"2024","Prioridade da IA na empresa","Alta prioridade","325","1045","5215","31.1","20.04"
"2024","Prioridade da IA na empresa","Prioridade moderada","301","1045","5215","28.8","20.04"
"2024","Prioridade da IA na empresa","Principal prioridade","235","1045","5215","22.49","20.04"
"2024","Prioridade da IA na empresa","Não é prioridade","155","1045","5215","14.83","20.04"
"2024","Prioridade da IA na empresa","Não sabe opinar","29","1045","5215","2.78","20.04"
"2025_2026","Adoção de IA no trabalho","Utiliza IA","2066","2105","3494","98.15","60.25"
"2025_2026","Adoção de IA no trabalho","Não utiliza IA","39","2105","3494","1.85","60.25"
"2025_2026","Prioridade da IA na empresa","Alta prioridade","240","652","3494","36.81","18.66"
"2025_2026","Prioridade da IA na empresa","Prioridade moderada","169","652","3494","25.92","18.66"
"2025_2026","Prioridade da IA na empresa","Principal prioridade","155","652","3494","23.77","18.66"
"2025_2026","Prioridade da IA na empresa","Não é prioridade","74","652","3494","11.35","18.66"
"2025_2026","Prioridade da IA na empresa","Não sabe opinar","14","652","3494","2.15","18.66"
