"ano_pesquisa","regiao","quantidade","percentual","base_respostas_validas","total_respondentes_ano","cobertura_percentual"
"2023","Sudeste","3173","61.39","5169","5293","97.66"
"2023","Sul","961","18.59","5169","5293","97.66"
"2023","Nordeste","608","11.76","5169","5293","97.66"
"2023","Centro-oeste","344","6.66","5169","5293","97.66"
"2023","Norte","83","1.61","5169","5293","97.66"
"2024","Sudeste","3131","61.72","5073","5215","97.28"
"2024","Sul","1030","20.3","5073","5215","97.28"
"2024","Nordeste","516","10.17","5073","5215","97.28"
"2024","Centro-oeste","332","6.54","5073","5215","97.28"
"2024","Norte","64","1.26","5073","5215","97.28"
"2025_2026","Sudeste","2170","64.41","3369","3494","96.42"
"2025_2026","Sul","540","16.03","3369","3494","96.42"
"2025_2026","Nordeste","380","11.28","3369","3494","96.42"
"2025_2026","Centro-oeste","231","6.86","3369","3494","96.42"
"2025_2026","Norte","48","1.42","3369","3494","96.42"
