"id_respondente","idade","funcao_atuacao","fontes_dados","faixa_idade","genero","raca_etnia","pcd","estado","uf","regiao","nivel_ensino","area_formacao","situacao_trabalho","setor","numero_funcionarios","atua_como_gestor","cargo_gestor","cargo_atual","senioridade","faixa_salarial","experiencia_dados","experiencia_ti","satisfeito","modelo_trabalho_atual","modelo_trabalho_ideal","linguagem_preferida","bancos_dados","cloud_preferida","ferramenta_bi","bi_preferida","ia_prioridade_empresa","uso_ia_empresa","uso_ia_trabalho","faixa_salarial_raw","linguagem_preferida_raw","bancos_dados_raw","cloud_preferida_raw","ferramenta_bi_raw","bi_preferida_raw","id_unico","ordem_faixa_salarial","ia_prioridade_categoria","adocao_ia_trabalho","ano_pesquisa"
"001b2d1qtli8t9z7oqgdhj001b2d4i0g","31","Ciência de Dados","Dados relacionais (estruturados em bancos SQL), Textos/Documentos, Dados armazenados em bancos NoSQL, Planilhas, Áudios, Dados georeferenciados","30-34","Masculino","Branca","Não","Minas Gerais (MG)","MG","Sudeste","Doutorado ou Phd","Computação / Engenharia de Software / Sistemas de Informação/ TI","Empregado (CLT)","Finanças ou Bancos","Acima de 3.000","false",,"Cientista de Dados/Data Scientist","Sênior","de R$ 12.001/mês a R$ 16.000/mês","de 3 a 4 anos","Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados","false","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","Modelo 100% remoto","Python","SQLite, SQL Server, S3, Redis, Hive","AWS","Não utilizo nenhuma ferramenta de BI no trabalho","Streamlit",,,"Não utilizo nenhum tipo de solução de IA Generativa para melhorar a produtividade no dia a dia.","de R$ 12.001/mês a R$ 16.000/mês","Python","SQLite, SQL SERVER, S3, Redis, Hive","Amazon Web Services (AWS)","Não utilizo nenhuma ferramenta de BI no trabalho","Streamlit","2023_001b2d1qtli8t9z7oqgdhj001b2d4i0g","8",,"Não utiliza IA","2023"
"0026aa3fwd78u0026asg7456tfkjg2cs","30","Análise de Dados","Dados relacionais (estruturados em bancos SQL), Dados armazenados em bancos NoSQL, Imagens, Vídeos","30-34","Masculino","Branca","Não","Espírito Santo (ES)","ES","Sudeste","Graduação/Bacharelado","Computação / Engenharia de Software / Sistemas de Informação/ TI","Empreendedor ou Empregado (CNPJ)","Finanças ou Bancos","de 101 a 500","false",,"Analista de BI/BI Analyst","Pleno","de R$ 6.001/mês a R$ 8.000/mês","de 3 a 4 anos","de 3 a 4 anos","true","Modelo 100% remoto","Modelo 100% remoto","Python","S3","GCP","Looker, Microsoft Power BI","Looker",,,"Utilizo soluções pagas de AI Generativa (como por exemplo ChatGPT plus, MidJourney etc) e pago do meu próprio bolso.","de R$ 6.001/mês a R$ 8.000/mês","Python","S3","Google Cloud (GCP)","Looker, Microsoft PowerBI","Looker","2023_0026aa3fwd78u0026asg7456tfkjg2cs","6",,"Utiliza IA","2023"
"00r21rb9pusd1b0v7ew00r21rw3dy69w","37","Ciência de Dados","Dados relacionais (estruturados em bancos SQL), Textos/Documentos, Planilhas","35-39","Feminino","Amarela","Não","São Paulo (SP)","SP","Sudeste","Graduação/Bacharelado","Computação / Engenharia de Software / Sistemas de Informação/ TI","Empregado (CLT)","Finanças ou Bancos","Acima de 3.000","false",,"Analista de Dados/Data Analyst","Júnior","de R$ 6.001/mês a R$ 8.000/mês","de 1 a 2 anos","Menos de 1 ano","true","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","Modelo 100% remoto","Python","S3, Amazon Athena, Hive","AWS","Salesforce/Einstein Analytics, Amazon QuickSight, Tableau, Fazemos todas as análises utilizando apenas Excel ou planilhas do google, Alteryx","Amazon QuickSight",,,"Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","de R$ 6.001/mês a R$ 8.000/mês","Python","S3, Amazon Athena, Hive","Amazon Web Services (AWS)","Salesforce/Einstein Analytics, Amazon Quicksight, Tableau, Fazemos todas as análises utilizando apenas Excel ou planilhas do google, Amazon Quicksight, Alteryx","Amazon Quicksight","2023_00r21rb9pusd1b0v7ew00r21rw3dy69w","6",,"Utiliza IA","2023"
"00urm3jf2cek12w6ygue00urm3jzd17j","22","Buscando oportunidade na área de dados",,"22-24","Masculino","Preta","Não","São Paulo (SP)","SP","Sudeste","Estudante de Graduação","Computação / Engenharia de Software / Sistemas de Informação/ TI","Desempregado, buscando recolocação",,,,,,,,,,,,,,"",,"",,,,,,,,,,,"2023_00urm3jf2cek12w6ygue00urm3jzd17j",,,,"2023"
"00v0az4g792svil00vn6y1kfm9hq8vy9","34","Análise de Dados","Dados relacionais (estruturados em bancos SQL), Textos/Documentos, Planilhas, Áudios","30-34","Masculino","Branca","Não","Minas Gerais (MG)","MG","Sudeste","Doutorado ou Phd","Economia/ Administração / Contabilidade / Finanças/ Negócios","Empreendedor ou Empregado (CNPJ)","Outra Opção","de 101 a 500","false",,"Analista de Dados/Data Analyst","Júnior","de R$ 4.001/mês a R$ 6.000/mês","Menos de 1 ano","Menos de 1 ano","true","Modelo 100% remoto","Modelo 100% remoto","Python","Google BigQuery, Snowflake","AWS","Microsoft Power BI, Metabase","Microsoft Power BI",,,"Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","de R$ 4.001/mês a R$ 6.000/mês","Python","Google BigQuery, Snowflake","Amazon Web Services (AWS)","Microsoft PowerBI, Metabase","Microsoft PowerBI","2023_00v0az4g792svil00vn6y1kfm9hq8vy9","5",,"Utiliza IA","2023"
"015qqbrh4rr015qje9gvkbsb7ti1n5df","30","Engenharia de Dados","Dados relacionais (estruturados em bancos SQL), Dados armazenados em bancos NoSQL, Textos/Documentos, Planilhas","30-34","Masculino","Branca","Não","Rio de Janeiro (RJ)","RJ","Sudeste","Estudante de Graduação","Computação / Engenharia de Software / Sistemas de Informação/ TI","Empreendedor ou Empregado (CNPJ)","Tecnologia/Fábrica de Software","de 51 a 100","false",,"Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect","Pleno","de R$ 8.001/mês a R$ 12.000/mês","de 1 a 2 anos","Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados","true","Modelo 100% remoto","Modelo 100% remoto","Python","Amazon Athena, Hive, Databricks, Amazon Redshift, DynamoDB, Google BigQuery, Snowflake, SQL Server, Amazon Aurora ou RDS, PostgreSQL, MariaDB","AWS","Looker, Microsoft Power BI","Metabase",,,"Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","de R$ 8.001/mês a R$ 12.000/mês","Python","Amazon Athena, Hive, Databricks, Amazon Redshift, DynamoDB, Google BigQuery, Snowflake, SQL SERVER, Amazon Aurora ou RDS, PostgreSQL, MariaDB","Amazon Web Services (AWS)","Looker, Microsoft PowerBI","Metabase","2023_015qqbrh4rr015qje9gvkbsb7ti1n5df","7",,"Utiliza IA","2023"
"01810y9hweneb018to8t1p8ubyn1o04m","24","Análise de Dados","Dados relacionais (estruturados em bancos SQL), Planilhas","22-24","Masculino","Branca","Não","São Paulo (SP)","SP","Sudeste","Graduação/Bacharelado","Economia/ Administração / Contabilidade / Finanças/ Negócios","Empregado (CLT)","Finanças ou Bancos","Acima de 3.000","false",,"Analista de Negócios/Business Analyst","Pleno","de R$ 4.001/mês a R$ 6.000/mês","de 3 a 4 anos","Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados","true","Modelo híbrido com dias fixos de trabalho presencial","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","Python","S3, Amazon Athena","AWS","Fazemos todas as análises utilizando apenas Excel ou planilhas do google","Microsoft Power BI",,,"Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","de R$ 4.001/mês a R$ 6.000/mês","Python","S3, Amazon Athena","Amazon Web Services (AWS)","Fazemos todas as análises utilizando apenas Excel ou planilhas do google","Microsoft PowerBI","2023_01810y9hweneb018to8t1p8ubyn1o04m","5",,"Utiliza IA","2023"
"01k1i8w42ljmgee01k1eay1n1283ot23","35","Gestor",,"35-39","Masculino","Branca","Não","São Paulo (SP)","SP","Sudeste","Pós-graduação","Computação / Engenharia de Software / Sistemas de Informação/ TI","Empregado (CLT)","Varejo","Acima de 3.000","true","Gerente/Head",,,"de R$ 20.001/mês a R$ 25.000/mês","de 7 a 10 anos","de 7 a 10 anos","true","Modelo 100% remoto","Modelo 100% remoto",,"",,"",,"Mais ou menos... É uma das várias iniciativas que estamos impulsionando, mas não é uma prioridade (iniciativas isoladas e pouco foco).","Não tenho visto soluções de IA Generatica e LLMs sendo tradadas como prioridade pela empresa e pessoas, os poucos casos de uso são isolados ou ainda estão muito no início.",,"de R$ 20.001/mês a R$ 25.000/mês",,,,,,"2023_01k1i8w42ljmgee01k1eay1n1283ot23","10","Prioridade moderada",,"2023"
"01n9nd73iv68k81iefenxv01n9nd7wjt","27","Buscando oportunidade na área de dados",,"25-29","Masculino","Parda","Não","Rio de Janeiro (RJ)","RJ","Sudeste","Graduação/Bacharelado","Economia/ Administração / Contabilidade / Finanças/ Negócios","Trabalho na área Acadêmica/Pesquisador",,,,,,,,,,,,,,"",,"",,,,,,,,,,,"2023_01n9nd73iv68k81iefenxv01n9nd7wjt",,,,"2023"
"01v9nqn7mz93ace01v9ig2aswc6oy2zq","28","Buscando oportunidade na área de dados",,"25-29","Masculino","Parda","Não","São Paulo (SP)","SP","Sudeste","Graduação/Bacharelado","Economia/ Administração / Contabilidade / Finanças/ Negócios","Desempregado, buscando recolocação",,,,,,,,,,,,,,"",,"",,,,,,,,,,,"2023_01v9nqn7mz93ace01v9ig2aswc6oy2zq",,,,"2023"
